"id","name","notes"
114,Indian Reform Association,
115,National Union of Conservative and Constitutional Associations,
116,Early English Text Society,
117,Charity Organization Society,
118,Society for Promoting Christian Knowledge,
119,Society of Friends,
120,Geologist's Association,
121,Hertfordshire Natural History Society,
122,Society of Chemical Industry,
123,Cumberland and Westmorland Antiquarian and Archaeological Society,
124,Metaphysical Society,
125,Scottish Text Society,
126,Microscopical Society of London,
127,Norwich and Norfolk Geological Society,
128,Academia Quirurgia of Madrid,
129,Royal Institution,
130,Royal Meteorological Society,
131,Genealogical and Historical Society of Great Britain,
132,Pscyhological Society,
133,"Victoria Institute, or Philosophical Society of Great Britain",
134,Manchester Anthropological Society,
135,British Homeopathic Society,
136,Northern Homeopathic Society,
137,Hahneman Medical Society,
138,British Homeopathic Association,
139,Smithsonian Institution,
140,Institute of Mining Engineers,
141,Royal Geological Society of Cornwall,
142,Historic Society of Lancashire and Cheshire,
143,Geological Society of France,
144,Kent Archaeological Society,
145,Royal Archaeological Institute,
146,Imperial Leopoldino Carolina Academia Naturae Curiosum,
147,Upper Hesse Society for Natural and Medical Science,
148,Literary and Philosophical Society of Liverpool,
149,Royal Microscopical Society,
150,Royal Pharmaceutical Society,
151,Sheffield Literary and Philosophical Society,
152,British Academy,
153,Institute of Actuaries,
154,Bath Royal Literary and Scientific Institution,
155,"Society of Archaeology, Namur, Brussels",
156,London Spiritualist Alliance,
157,National Association of Spiritualists of London,
158,British National Association of Spirtualists,
159,East Yorkshire Anthropological Society,
160,"Ethnological Society, Paris",
161,Imperial Academy of Medicine of France,
162,Societa Italiana di Antropologia e di Etnologia,
163,Sheffield Medical Society,
164,Caerleon Antiquarian Association,
165,Societe Parisienne d'Archeologie et d'Histoire,
166,Association for Promoting the General Welfare of the Blind,
167,Obstetrical Society of London,
168,Palaeontographical Society,
169,Yorkshire Geological and Polytechnic Society,
170,Halifax Literary and Philosophical Society,
171,Royal Botanic Society of London,
172,Sussex Archaeological Society,
173,Field Naturalists Club of Victoria,
174,British Medical Association,
175,Linnean Society of New South Wales,
176,Manchester Medical Society,
177,Royal College of Surgeons Ireland,
178,Association Scientifique de Paris,
179,Royal Statistical Society,
180,Childhood Society,
181,Child Study Society,
182,Liverpool District Provident Society,
183,Glasgow Sunday Educational Association,
184,Glasgow Secular School Society,
185,Cork Scientific and Literary Society,
186,National Institution for Diseases of the Skin Edinburgh,
187,Royal Medical and Chirurgical Society,
188,"Museum d'Histoire Naturel, Paris",
189,Royal Academy of Sciences,
190,Royal Society of Tasmania,
191,Phrenopathic Society of Aversa,
192,Scottish Meteorological Society,
193,Scottish History Society,
194,Royal Scottish Academy,
195,Palestine Exploration Fund,
196,"Victoria Institute, or Philosophical Institute of Great Britain",
197,Royal Norwegian Society of Sciences in Trondheim,
198,Pali Text Society,
199,Eclectic Medical Society of New York,
200,Royal Society of Arts,
201,York Philosphical Society,
202,Society of Emulation of Paris,
203,Royal Medical Society of Berlin,
204,Academy of Medicine and Surgery of Madrid and Barcelona,
205,Academy of Natural Sciences of Spain,
206,British Museum,
207,Royal College of Physicians Edinburgh,
208,Botanical Society of Edinburgh,
209,Wernerian Natural History Society,
210,Natal Agricultural and Horticultural Society,
211,Pietermaritzburg Horticultural Society,
212,Natal Society,
213,Leeds Philosophical and Literary Society,
214,American Jewish Historical Society,
215,Zetetical Society,
216,London Topographical Society,
217,Royal Numismatic Society,
218,New York Dermatological Society,
219,Geographical Society of Paris,
220,"Worcestershire, Severn Valley, Warwickshire and Naturalists' Field Club",
221,Worcestershire Archaeological Society,
222,Manx Society,
223,Academie Hongroise de Pest,
224,Dresden Geographical Society,
225,National Vaccine Establishment,
226,Horticultural Society of Ulverstone,
227,Michigan Historical Society,
228,Algic Society,
229,Hungarian Academy of Sciences,
230,"Veterinary College, London",
231,New Sydenham Society,
232,Cambrian Archaeological Association,
233,British Mycological Society,
234,Camden Society,
235,North of England Institute of Mining and Mechanical Engineers,
236,Edinburgh Mathematical Society,
237,Society for Biblical Archaeology,
238,Society of Authors,
239,Philosophical Institute of Victoria,
240,Manchester Geological Society,
241,Hastings and St Leonard's Philosophical Society,
242,Sydenham Society,
243,Cambrian Archaeological Society,
244,Society of Arts,
245,Meteriological Society Scotland,
246,Meteriological Society of France,
247,Physical Research Society,
248,Royal Historical and Archaeological Association of Ireland,
249,Society of Scottish Antiquarians,
250,Philosophical Society of Manchester,
251,Swedenborg Society,
252,Royal Society of Canada,
253,Royal Canadian Institute,
254,New York Historical Society,
255,New York Institute for the Deaf and Dumb,
256,Bath Natural History Society,
257,Philomatic Society of Paris,
258,Bacup Natural History Society,
259,Saint Petersburg Academy of Sciences,
260,Russian Geographic Society,
261,Institution of Mechanical Engineers,
