"id","person_id","religion_id","confirmed","notes"
122,2305,1,0,"Possibly Lydia (Wallis) Brown (1788-1879), wife of Daniel Brown, of Luton; 8-page obit. in 1880 Annual Monitor"
123,2306,1,0,Multiple possibilities
124,2307,1,0,Multiple possibilities
126,2309,1,0,"These dates don't work for a single individual. Sir Thomas Fowell Buxton, 1st baronet, d. 1845, but the 3rd baronet, of the same name (1847-1915), could account for the end date; or the 1st baronet's son, plain TFB (1822-1908, 2nd son, so no title) might be a better fit; this would need further checking, to be certain"
127,2310,1,0,"possibly William Catchpool (1828-1920), miller, of Lewisham"
128,2311,1,0,"Probably Catherine Brewster (Fox) Charleton (1823-1902), of Bristol, wife of Robert Charleton; 12-page obit. in 1904 Annual Monitor"
129,2312,1,0,Multiple candidates
130,2313,1,0,"Either William Clemes (1796-1883), of St Austell, or his son of the same name (1824-1896), of Plymouth"
131,2314,1,0,"possibly Celia Clothier (1798-1872), of Street"
132,2315,1,0,"Probably Joseph Cooper (1800-1881), hat manufacturer, of Walthamstow; 11-page memoir in 1883 Annual Monitor"
133,2316,1,0,"Multiple candidates, including George Crosfield (1785-1847), botanist and Quaker publicist; 5-page obit. in 1849 Annual Monitor; entry in Oxford DNB"
134,2317,1,0,"Probably Joseph Crosland (1810-1871), leather dealer, of Worcester; but possibly Joseph Crosland (b. 1842)"
135,2318,1,0,"Possibly Charlotte (Curtis) Crowley (1801-1892), wife of Abraham Crowley"
138,2321,1,0,"Probably Ann Backhouse (Robson) Dale (1817-1866), first wife of Sir David Dale"
139,2322,1,0,"Possibly Eliza Steadman Dawes (1804-1882), of Stoke Newington"
141,2324,1,0,"Probably John Dodshon (1811-1875), wholesale grocer and provision merchant, of Stockton; 8-page obit in 1876 Annual Monitor. But it could also be his son of the same name (1838-1873), London merchant; 3-page obit. in Annual Monitor"
142,2325,1,0,"Probably Daniel Doncaster 1807-1884), steel manufacturer, of Sheffield; 8-page obit. in 1885 Annual Monitor. But it could also be his son of the same name (1834-1912), steel manufacturer, of Sheffield; 2-page obit. and photo in 1914 Annual Monitor"
143,2326,1,0,"Possibly Elizabeth Dyer (1787-1867), of Bristol - but this might be her married name"
144,2327,1,0,Multiple possibilities
146,2329,1,0,"Either William Dyson (1792 - after 1871), York solicitor; or William Dyson (1831-1898), b. Leeds"
148,2331,1,0,"Possibly Alfred Ellis (1821-1879), oil merchant, of Leicester"
149,2332,1,0,"Probably Thomas Evans (1787-1865), of Hereford; possibly Thomas Evans (1799-1883), of Plymouth"
150,2333,1,0,"Possibly Anne Everett (1784-1863), of Croydon - but this may be her married name"
151,2334,1,0,"Probably Joseph Fardon (1800-1877), Reading druggist"
152,2335,1,0,"Probably John Fell (1786-1865), London corn factor"
153,2336,1,0,"Possibly Mary (Hull) Fell (1788-1846), of Uxbridge; sister-in-law to John Fell"
154,2337,1,0,"Could be Samuel H. Fisher, about whom all I know is that he married Margaret H. Eaton in 1849, whose death was recorded in the Annual Monitor"
155,2338,1,0,"Probably Caleb Fletcher (1784-1864), flax spinner, of York; 8-page obit. in 1865 Annual Monitor"
156,2339,1,0,"Possibly Martha (Burgess) Fletcher, wife of a John Fletcher, and daughter of Joseph & Mary Burgess of Leicester, known Quakers; no other info known to me"
157,2340,1,0,"Probably John Ford (1801-1875), headmaster of Bootham School; 11-page obit. in 1876 Annual Monitor"
158,2341,1,0,Multiple possibilities
159,2342,1,0,"Either Henry Fox (1819-1887), of Plymouth; or Henry Fox (1800-1876), woollen manufacturer, of Wellington, Somerset"
161,2344,1,0,"Probably Robert Were Fox (1789-1877), geologist and physicist, of Falmouth; 9-page obit. in 1878 Annual Monitor; entry in Oxford DNB; possibly Robert Were Fox (1792-1872), banker and merchant, of London"
162,2345,1,0,"Probably Thomas Fox (1786-1862), serge maker and banker, of Ipswich, Wellington, and Bristol; possibly Thomas Fox (1828-1898), serge maker, of Wellington"
163,2346,1,0,"Probably Anna Maria Fox (1816 to 1897) and Caroline Fox (1819-1871), both of Falmouth; sisters to Robert Barclay Fox; 10-page and 7-page obits, respectively, in Annual Monitor; Caroline has entry in Oxford DNB"
164,2347,1,0,"Possibly William Gayner (1821-1887), of Bristol"
165,2348,1,0,"Probably Joseph Gibbins (1787-1870), chemicals manufacturer, banker, and railway director, of Swansea and the West Midlands; entry in Oxford DNB"
166,2349,1,0,"Multiple possibilities, but the likeliest candidate may be Ann (Marriage) Gibson (1797-1865), widow of Jabez Gibson, brewer & banker, of Saffron Walden"
168,2351,1,0,"Probably Elizabeth (Pease) Gibson (1803-1866), wife/widow of Francis Gibson, brewer & banker, of Saffron Waldon"
169,2352,1,0,"Possibly wife of Francis Edward Gibson (1831-1862), banker of Saffron Walden - but I have no knowledge of whether or not he married"
170,2353,1,0,Presumably = Wyatt George Gibson
171,2354,1,0,"Probably Thomas Gill (1801-1879), Guildford ironmonger"
172,2355,1,0,Multiple possibilities
173,2356,1,0,"Probably John Gillett (1801-1869), wine merchant, of Brailes, Warwickshire"
174,2357,1,0,"Probably James Gilpin (1820-1868), porter merchant, of Newcastle, Bamburgh, and elsewhere"
175,2358,1,0,"Possibly James Gingell, hay & straw salesman, about whom I know nothing except that he had seven children, and his wife d. in 1835"
176,2359,1,0,"Either John Good (1800-1876), of Hull, or his son of the same name (1834-1884)"
177,2360,1,0,"Probably Josiah Grace (1784-1861), of Bristol; but possibly Josiah Grace (1799-1868), Bristol corn factor"
178,2361,1,0,"Probably Thomas Graham (1772-1858), of Coalbrookdale"
179,2362,1,0,"Possibly John Green (1818-1881), of Liverpool; or John Green (1834-1898), of Dewsbury"
180,2363,1,0,"Either Thomas Gregory (1818-1891), Reading grocer; or Thomas Gregory (1828-1907), Bristol grocer"
181,2364,1,0,"I have two George Grimshaws, b. 1810 and 1831, but no other information about them, so they may have died by 1861 for all I know"
182,2365,1,0,"There were Quaker Hadfields, but I don't know of any colonels of this name"
183,2366,1,0,"Probably Isaac Hadwen IV (1793-1865), Liverpool merchant; 11-page obit. in 1866 Annual Monitor; possibly his son Isaac (1824-1876)"
184,2367,1,0,"Probably Robert Harding (1818-1892), of Bristol and Ipswich; 5-page obit. in 1893 Annual Monitor; possibly Robert Harding, b. 1815, Street, Somerset"
185,2368,1,0,Multiple possibilities
186,2369,1,0,"Possibly Lydia Harris (1791-1874), of Peckham"
187,2370,1,0,"Probably Thomas Harvey (1812-1884), pharmaceutical chemist and insurance director; 10-page obit. in 1886 Annual Monitor; entry in Oxford DNB"
188,2371,1,0,"Probably George Head Head (1795-1876), banker, of Carlisle"
189,2372,1,0,"Probably Sarah (Gurney) Head (b. 1811), 2nd wife of George Head Head"
190,2373,1,0,"Probably Henry Headley (1824-1909), grocer, of Ashford"
191,2374,1,0,"Possibly William Watson Hewitson (1814-1853), Leeds engineer; brother to Mary Ann Hewitson"
192,2375,1,0,"Either Charles Hicks (1797-1886), maltster & farmer, of Stansted, Essex; 1-page obit. in 1887 Annual Monitor; or Charles Hicks (1833-1899), corn dealer, of Maldon, Essex"
193,2376,1,0,"Possibly Elizabeth (____) Hills (1804-1886), wife of John Hills of Earls Colne, Essex"
194,2377,1,0,"Probably James Hills (1805-1884), Sunderland ironmonger"
195,2378,1,0,"Probably John Hills (b. 1803), Sunderland grocer"
197,2380,1,0,"Probably John Gurney Hoare (1810-1876), London banker; entry in Wikipedia"
198,2381,1,0,"Possibly Maria de Horne (Scott) Hooper (1777 - after 1863), of Great Amwell, Hertfordshire; wife/widow of Joseph Hooper, Hertford maltster"
199,2382,1,0,Multiple possibilities
200,2383,1,0,"Possibly Rebecca Hopkins (1836-1901), of Nottingham; dates suggest she may have been a sister of Hannah Maria Hopkins, but I have no evidence for this"
201,2384,1,0,"Either Mary Horsnaill (1771-1858), of Rochester; or Mary Horsnaill (1826-1916), of Rochester and London"
202,2385,1,0,"Possibly Elizabeth (____) Howard (1779-1869), of Tottenham; wife/widow of Thomas Howard"
203,2386,1,0,Possibly = Elizabeth (____) Howard (1779-1869)
204,2387,1,0,"Possibly Thomas Hughes (1814-1890), of Dublin"
205,2388,1,0,"Probably Henry Hunt (1780-1862), chocolate manufacturer and tea dealer, of Bristol; 3-page obit. in Annual Monitor; possibly his son of the same name (1806-1881), tea dealer, of Bristol"
206,2389,1,0,"Possibly Theodore Hunt (1837-1926), leather factor, of Bristol"
207,2390,1,0,"Probably James Hurnard (1809-1881), of Colchester"
208,2391,1,0,"Possibly John Clark Isaac, son of John Clark Isaac (1782-1850); only source for this is http://www.pennyghael.org.uk/Clark.pdf"
209,2392,1,0,"Possibly John James (1800-1875), of Truro"
210,2393,1,0,"Probably Charles I'Anson (1809-1884), currier and iron manufacturer, of Darlington"
211,2394,1,0,"Probably Samuel Jesper (1801-1876), woollen draper, of Macclesfield; 1-page obit. in 1877 Annual Monitor; possibly his son of the same name (1828-1899), woollen draper and clothier, of Penrith"
212,2395,1,0,"presumably = Benjamin Jowitt (1788-1867), of Carleton, near Pontefract"
213,2396,1,0,"Possibly = John Jowitt (1811-1888), but the latter was son of Joseph, not John"
214,2397,1,0,presumably = Robert Jowitt
215,2398,1,0,"Possibly John King (1791-1862), of Crawshawbooth, Lancashire; but there are other possibilities"
216,2399,1,0,Multiple possibilities
217,2400,1,0,Multiple possibilities
218,2401,1,0,"Either Alfred Kitching (1808-1882), iron manufacturer, of Darlington; or Alfred Kitching, MD (1821-1903), of Hull; 4-page obit. in 1904 Annual Monitor"
219,2402,1,0,"Probably Caroline Knight (1808-1887), of Westminster"
220,2403,1,0,"I have a John Lee who d. before 1885, whose wife's death in Bradford that year is recorded in the Annual Monitor; no other info on this man, and no other possibilities known to me"
221,2404,1,0,"I have a William Leitch, whose daughter Agnes was b. in Glasgow in 1832, but I have no other info on him"
223,2406,1,0,"Probably Thomas Latchmore (1805-1875), Hitchin grocer"
224,2407,1,0,"Probably = Thomas Latchmore (1805-1875); but if the 'x' implies a middle name, then possibly his son Thomas Benwell Latchmore (1832-1908), commercial photographer, of Hitchin"
225,2408,1,0,"I know of five Quakers named Thomas Letchworth, but none fit these dates"
226,2409,1,0,"I know of five Quakers named Thomas Letchworth, but none fit these dates"
227,2410,1,0,"I know of five Quakers named Thomas Letchworth, but none fit these dates; if the 'x' implies a middle name, I have no candidates"
228,2411,1,0,Multiple possibilities
229,2412,1,0,"Probably Edward Lucas (1803-1874), ship owner, coal & timber merchant, and banker, of Luton and Brighton; but there was also an Edward Lucas, b. 1822 in Clapham, about whom I have no further life history"
230,2413,1,0,"Possibly Rebecca Lucas (1802-1868), of Wandsworth; but Lucas may have been a married name"
231,2414,1,0,"Either Thomas Marriage (1800-1888), of Chelmsford; or Thomas Marriage (b. 1808, Springfield, Essex)"
232,2415,1,0,"Probably John Marsh (1788-1872), of Dorking"
233,2416,1,0,Multiple possibilities
234,2417,1,0,"Possibly William Matthews (1808-1904), of Earls Colne; 22-page obit. in 1905 Annual Monitor"
235,2418,1,0,"Possibly the William Matravers jnr, clothier, of Westbury, Wiltshire, who married in 1823"
236,2419,1,0,"Possibly Daniel Miller (1803-1889), importer of foreign fancy goods, of London"
237,2420,1,0,"Either John Morrison (1800-1870), of Whitehaven; or John Morrison (1801-1874), of Springhill, Enniscorthy, Ireland"
238,2421,1,0,"Probably Edward Neave (1779-1861), draper, of Gillingham, Dorset"
240,2423,1,0,"Possibly Mary (Kitching) Overend (1783-1862), of Southgate, London, widow of John Overend, bill broker"
241,2424,1,0,"Possibly William Isaac Palmer (1824-1893), biscuit manufacturer, of Reading; brother of George Palmer"
242,2425,1,0,"Possibly Rev. James Pears, whose son Arnold married into the Quaker Fry family"
244,2427,1,0,"Probably Edward Priestman (1838-1920), worsted manufacturer of Bradford; but was there another Edward, as suggested by the dates for Mrs Edward?"
245,2428,1,0,"Probably John Priestman (1805-1866), corn miller, worsted manufacturer, insurance director, of Bradford; entry in Oxford DNB"
246,2429,1,0,"Possibly James Ransome (b. 1794, Norwich)"
247,2430,1,0,"Possibly Robert Ransome (1795-1864), ironmaster and agricultural implement manufacturer, of Ipswich; but dates don't work precisely"
248,2431,1,0,"Probably Elizabeth (Greg) Rathbone (1790-1882), wife of William Rathbone V, of Liverpool, who has an entry in the Oxford DNB; not herself a Quaker, and he was disowned for marrying her"
249,2432,1,0,"Possibly John Read (d. before 1847), miller, of Godmanchester, son of John"
250,2433,1,0,"'Miss Edward' doesn't makes sense; if I disregard the 'Miss' this is probably either Edward Richardson (1806-1863), leather manufacturer, of Newcastle; or Edward Richardson (1810-1886), Sunderland coal owner"
251,2434,1,0,"Either Henry Richardson (1806-1885), Newcastle grocer; or Henry Richardson (1814-1893), agricultural merchant, of York"
252,2435,1,0,Multiple possibilities
254,2437,1,0,"Not known by me, but seems likely"
255,2438,1,0,"Not known by me, but seems likely"
257,2440,1,0,"Possibly John Rooke (1802-1879), manufacturing chemist, of Manchester; or his brother Joseph Rooke (1791-1868), manufacturing chemist, of Liverpool"
258,2441,1,0,"Probably Alfred Rosling (1802-1892), cooper and timber merchant, of Reigate; possibly his son of the same name (1832-1922), timber merchant, of Reigate"
259,2442,1,0,"Probably John Stephenson Rowntree (1834-1907), grocer and tea dealer, of York; long entry in 1908 Annual Monitor; entry in Oxford DNB; but possibly John Smithson Rowntree (1827-1872), rates and fares manager for the NER, of Bradford"
260,2443,1,0,"Probably Joseph Rowntree (1801-1859), grocer and tea dealer, of York; 24-page memoir in 1860 Annual Monitor; entry in Oxford DNB; but possibly Joseph Rowntree (1808-1880), corn miller, of Thornton-le-Dale and Stockton-on-Tees"
261,2444,1,0,"Probably Samuel Rundell (1763-1848), worsted manufacturer, of Liskeard, Cornwall; 11-page obit. in Annual Monitor"
262,2445,1,0,Multiple possibilities
263,2446,1,0,"Either Joseph Sams (1784-1860), bookseller and schoolmaster, of Darlington; entry in Oxford DNB; or Joseph Sams (1808-1862), banker, of Thornbury, Gloucestershire"
264,2447,1,0,"Error in dates, but probably Joseph Alfred Sanders (b. 1822, York)"
265,2448,1,0,"Possibly Mary Sansom (1778-1860), of Tideford, Cornwall"
266,2449,1,0,"Probably Michael Satterthwaite (1812-1861), schoolmaster, of Wilmslow, Cheshire"
267,2450,1,0,Multiple possibilities
269,2452,1,0,"Probably Benjamin Seebohm (1798-1871), wool merchant, of Bradford and Luton; 19-page memoir in 1872 Annual Monitor; but possibly his son of the same name (1839-1907), banker, of Hitchin, Bedford, and Luton"
270,2453,1,0,"Possibly Wilhelm Seebohm (1807-1876), of Hamburg, whose daughter married Joseph Rowntree"
271,2454,1,0,"Possibly Charles A. Sessions (1823-1891), of Charlbury"
274,2457,1,0,Multiple possibilities
275,2458,1,0,Multiple possibilities
276,2459,1,0,Multiple possibilities
277,2460,1,0,Multiple possibilities
278,2461,1,0,"Possibly Ann (Bentley) Snowden (1796-1888), of Edgbaston; 4-page obit. in 1889 Annual Monitor; wife of John Snowden"
279,2462,1,0,"Possibly Constance Ann (Merrick) Southall (1801-1890), of London, wife of Rittson Southall; 6-page obit. in 1891 Annual Monitor"
280,2463,1,0,"Probably William Southall (1797-1866), druggist and dyer, of Birmingham; possibly William Southall (1825-1886), druggist and manufacturing chemist, of Birmingham"
281,2464,1,0,"Probably William Sparkes (d. after 1848), father of John Morse Sparkes; possibly William Sparkes (1805-1881), Worcester ironmonger"
282,2465,1,0,"I have no Joseph Spence with this middle initial, though the Spence family were certainly Quakers (I have Spence forebears myself); possibly this is Joseph Spence (1819-1889), draper and alderman, of Tynemouth, whose mother's surname was Foster - i.e. he may have been styling himself as Joseph Foster Spence [speculation only]"
283,2466,1,0,"Probably Lovell Squire (1809-1892), teacher, of York, Falmouth, and Chiswick; 6-page obit. in 1893 Annual Monitor; possibly Louisa Squire (1799-1889), of Dorking"
284,2467,1,0,"Either Mary Steevens (1784-1864), of High Wycombe; or Mary (____) Steevens (1791-1872), of Reading, wife of Joseph Seymour Steevens"
285,2468,1,0,"Probably Henry Sterry (1803-1869), Southwark oilman, brother of Joseph Sterry; possibly Henry Sterry (b. 1799, Finsbury Square)"
286,2469,1,0,"Probably Richard Sterry (1784-1865), oil merchant, of London; possibly his son of the same name (1821-1896), gentleman, of Basingstoke"
287,2470,1,0,Multiple possibilities
288,2471,1,0,"Probably Hannah (Dickinson) Sturge (1816-1896), philanthropist; entry in Oxford DNB; wife of Joseph Sturge (1793-1859); possibly Sarah Elizabeth (Nesbit) Sturge (1821-1901), wife of Joseph Sturge (1818-1874)"
289,2472,1,0,"possibly Sarah (____) Styles (1787-1864), of Rochester, wife of Robert Styles; the dates aren't a perfect match, but I have no other suggestions"
290,2473,1,0,"I have a George North Tatham (1772-1850), but clearly the dates don't work; I don’t know his father's name, but perhaps he too was a George North Tatham"
291,2474,1,0,"I have a Mary Ann Tatham (1794-1867), of Adel, near Leeds; but I don't know whether or not this was her married name"
292,2475,1,0,"Possibly Edward Taylor (b. 1816), about whose parentage I have more information"
293,2476,1,0,"Possibly Frederic Taylor (1828-1900), schoolmaster, private secretary, and agent, of Sunderland; 4-page obit. in 1901 Annual Monitor"
295,2478,1,0,Multiple possibilities
296,2479,1,0,Multiple possibilities
297,2480,1,0,"Probably Francis James Thompson (1813-1896), Bridgwater ironmonger; 7-page obit. in 1898 Annual Monitor"
298,2481,1,0,Three possibilities
299,2482,1,0,Multiple possibilities
300,2483,1,0,Multiple possibilities
302,2485,1,0,"I have quite a few with this surname, but the only George I have was born in 1848"
303,2486,1,0,"Probably Frederick Tuckett, about whom I only know that he was a son of Philip Debell and Elizabeth Tuckett, so brother to Francis"
305,2488,1,0,"Possibly William Tuke (1811 - before 1877), of Winteringham"
306,2489,1,0,"One or two possibles, but I don't have sufficient info to be sure"
307,2490,1,0,"Probably James Veale (1801-1882), St Austell grocer, whose mother's maiden name was Edey; 15-page obit. in 1884 Annual Monitor; brother of Richard and William"
308,2491,1,0,"Either Jonathan Walker (1814-1885), of Ulverstone; or Jonathan Walker (1823-1890), Manchester tea dealer; 1-page obit. in 1891 Annual Monitor"
309,2492,1,0,"Possibly Ann Wallis (1791-1876), of Luton; but this could be her married name"
310,2493,1,0,"Either John Warner (1806-1845), London brassfounder; half-brother of Charles Bonham Warner; or John Warner (1776-1852), London brassfounder; their father"
311,2494,1,0,"Either Alfred Waterhouse (1798-1873), cotton broker, of Liverpool; 5-page obit. in 1875 Annual Monitor; or his son of the same name (1830-1905), architect, of Newbury; entry in Oxford DNB"
312,2495,1,0,"Probably Mary (Bevan) Waterhouse (1805-1880), wife of the elder Alfred; but there are a few other possibilities"
313,2496,1,0,"Probably Rogers Waterhouse (1807-1868), cotton broker, of Liverpool; brother to the elder Alfred; possibly Rebecca Waterhouse (1824-1906), niece to Alfred and Rogers"
314,2497,1,0,"Probably Thomas Wedmore (1810-1897), of Bristol; possibly Thomas Wedmore (1837-1886), of Portishead"
315,2498,1,0,"Either James Wells (1781-1871), of Chelmsford; or James Wells (1813-1889), of Kettering"
316,2499,1,0,"Probably Daniel Wheeler (1771-1840), farmer, porter dealer, seed merchant &c., of Sheffield; 13-page memoir in 1842 Annual Monitor; entry in Oxford DNB; possibly his son Daniel Wheeler (1812-1858), cotton spinner, of Bristol; 3-page obit. in 1849 Annual Monitor"
317,2500,1,0,"Probably William Whiting (1805-1889), of Tottenham"
318,2501,1,0,Multiple possibilities
319,2502,1,0,"Possibly William Robert Williams (1835-1859), of New Ross, Ireland"
320,2503,1,0,"Either Charles Wilson (1813-1900), woollen draper and clothier, of Preston; or Charles Wilson (1815-1886), merchant, shipowner &c., of Bishopwearmouth and Shotley Bridge; 4-page obit. in 1888 Annual Monitor, jointly with his wife"
321,2504,1,0,Multiple possibilities
322,2505,1,0,"Probably Isaac Wilson (1822-1899), ironmaster and MP, of Nunthorpe, Yorkshire; possibly his father of the same name (1784-1844), woollen manufacturer, of Kendal"
323,2506,1,0,"Possibly the Joseph Wilson whose wife Jane, of Westmorland, died in 1842"
324,2507,1,0,"Possibly Rebecca (____) Wilson (1777-1861), of Liverpool, wife of Edward Wilson"
325,2508,1,0,Possibly Hannah Wise (1794-1864)
326,2509,1,0,"Probably William Woods (1834-1919), of Wallasey, Cheshire"
327,2510,1,0,"Possibly Louisa Wright (1792-1879), of Bristol; but this may be her married name"
328,2511,1,1,"If this was James Bowden, recording clerk of London Yearly Meeting, I have two sets of dates that may or may not relate to the same individual; this would need further checking"
329,2512,1,1,"Either William Nash (1773-1850), of Hoxton; or William Nash (1790-1879), painter, of London"
330,2513,1,1,"Probably Joseph Sturge (1793-1859), corn factor and railway director, of Birmingham; 5-page obit. in 1860 Annual Monitor; entry in Oxford DNB; brother of Charles, Edmund, and Thomas Marshall; possibly Joseph Sturge (1818-1874)"
331,2514,1,1,"Either William Grimshaw (1798-1853), London watch manufacturer; or William Grimshaw (1812-1900), of Sunderland; both had fathers named William"
332,2515,1,1,"Either Henry Knight (1784-1863), of London and Swansea; or Henry Knight (1811-1885), pharmaceutical chemist, of Gloucester and Belfast; one or two other possibilities for whom I have incomplete information"
333,2516,1,1,"Edward Paull (1795-1886), of Peckham"
334,2517,1,1,"Robert Alsop (1803-1876), pharmaceutical chemist, of London; 6-page memoir in 1877 Annual Monitor"
335,2518,1,1,"Abraham Rawlinson Barclay (1793-1845), author, s. of Robert Backlay (1758-1816)"
336,2519,1,1,"John Barclay (1821-1889), druggist, of Falmouth"
337,2520,1,1,"Richard Barrett (1784-1855), London brass-founder; 5-page obit. in Annual Monitor"
338,2521,1,1,"John Thomas Barry (1789-1864), pharmaceutical chemist, of London"
